COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
nm_ativo,2,nvarchar,YES,-1,NULL,NULL,0
cd_grupo,3,bigint,YES,NULL,19,0,0
cd_tipo,4,bigint,YES,NULL,19,0,0
cd_entidade,5,bigint,YES,NULL,19,0,0
cd_funcionario,6,bigint,YES,NULL,19,0,0
cd_centro_custo,7,bigint,YES,NULL,19,0,0
nm_marca,8,nvarchar,YES,-1,NULL,NULL,0
nm_modelo,9,nvarchar,YES,-1,NULL,NULL,0
nm_identicacao,10,nvarchar,YES,-1,NULL,NULL,0
nm_nota_fiscal,11,nvarchar,YES,-1,NULL,NULL,0
dt_compra,12,datetime2,YES,NULL,NULL,NULL,0
dt_garantia,13,datetime2,YES,NULL,NULL,NULL,0
ds_ativo,14,nvarchar,YES,-1,NULL,NULL,0
vl_ativo,15,float,YES,NULL,53,NULL,0
nm_meses_depreciacao,16,bigint,YES,NULL,19,0,0
im_foto,17,varbinary,YES,-1,NULL,NULL,0
cd_conta_contabil,18,bigint,YES,NULL,19,0,0
ic_ativado,19,bit,YES,NULL,NULL,NULL,0
ic_baixado,20,bit,YES,NULL,NULL,NULL,0
