COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
cdPedido,2,bigint,YES,NULL,19,0,0
cdItemPedido,3,bigint,YES,NULL,19,0,0
cdFe,4,bigint,YES,NULL,19,0,0
cdItemFe,5,bigint,YES,NULL,19,0,0
dtEntrega,6,datetime2,YES,NULL,NULL,NULL,0
cdContrato,7,nvarchar,YES,-1,NULL,NULL,0
cdTipoElemento,8,bigint,YES,NULL,19,0,0
cdTipoEstoque,9,bigint,YES,NULL,19,0,0
nmProduto,10,nvarchar,YES,-1,NULL,NULL,0
cdTipoProduto,11,bigint,YES,NULL,19,0,0
vlDim01,12,float,YES,NULL,53,NULL,0
vlDim02,13,float,YES,NULL,53,NULL,0
vlDim03,14,float,YES,NULL,53,NULL,0
cdEntidade,15,bigint,YES,NULL,19,0,0
dtPreparacao,16,datetime2,YES,NULL,NULL,NULL,0
cdOFCadencia,17,bigint,YES,NULL,19,0,0
dtCadasrto,18,datetime2,YES,NULL,NULL,NULL,0
nmSpool,19,nvarchar,YES,-1,NULL,NULL,0
nmDesenho,20,nvarchar,YES,-1,NULL,NULL,0
