COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
cd_origem,2,bigint,YES,NULL,19,0,0
cd_codigo,3,bigint,YES,NULL,19,0,0
cd_item,4,bigint,YES,NULL,19,0,0
cd_ordem,5,bigint,YES,NULL,19,0,0
nm_item,6,nvarchar,YES,-1,NULL,NULL,0
ic_aprovado,7,bit,YES,NULL,NULL,NULL,0
dt_previsao,8,datetime2,YES,NULL,NULL,NULL,0
dt_conclusao,9,datetime2,YES,NULL,NULL,NULL,0
nm_emails,10,nvarchar,YES,-1,NULL,NULL,0
nm_comentarios,11,nvarchar,YES,-1,NULL,NULL,0
