COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
cd_usuario,2,bigint,YES,NULL,19,0,0
cd_tipo,3,bigint,YES,NULL,19,0,0
cd_entidade,4,bigint,YES,NULL,19,0,0
cd_contato,5,bigint,YES,NULL,19,0,0
dt_evento,6,datetime2,YES,NULL,NULL,NULL,0
ds_evento,7,nvarchar,YES,-1,NULL,NULL,0
dt_acao,8,datetime2,YES,NULL,NULL,NULL,0
ds_acao,9,nvarchar,YES,-1,NULL,NULL,0
ic_acao_fechada,10,bit,YES,NULL,NULL,NULL,0
nm_assunto,11,nvarchar,YES,-1,NULL,NULL,0
nm_observacoes,12,nvarchar,YES,-1,NULL,NULL,0
cd_orcamento,13,bigint,YES,NULL,19,0,0
cd_pedido_venda,14,bigint,YES,NULL,19,0,0
cd_crm_status,15,bigint,YES,NULL,19,0,0
cd_crm_interacao,16,bigint,YES,NULL,19,0,0
cd_crm_etapa,17,bigint,YES,NULL,19,0,0
