COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
cd_tipo_vendedor,2,bigint,YES,NULL,19,0,0
cd_vendedor,3,bigint,YES,NULL,19,0,0
nm_vendedor,4,nvarchar,YES,-1,NULL,NULL,0
dt_cadastramento,5,datetime2,YES,NULL,NULL,NULL,0
dt_vencimento,6,datetime2,YES,NULL,NULL,NULL,0
dt_cadastro_titulo,7,datetime2,YES,NULL,NULL,NULL,0
dt_pagto_titulo,8,datetime2,YES,NULL,NULL,NULL,0
cd_pedido_venda,9,bigint,YES,NULL,19,0,0
cd_nota_fiscal,10,bigint,YES,NULL,19,0,0
id_titulo_nota,11,bigint,YES,NULL,19,0,0
nm_titulo_nota,12,nvarchar,YES,-1,NULL,NULL,0
ic_titulo_pago,13,bit,YES,NULL,NULL,NULL,0
id_titulo_gerado,14,bigint,YES,NULL,19,0,0
vl_venda_bruto,15,float,YES,NULL,53,NULL,0
vl_venda_liquida,16,float,YES,NULL,53,NULL,0
vl_parcela_bruto,17,float,YES,NULL,53,NULL,0
vl_parcela_liquida,18,float,YES,NULL,53,NULL,0
pc_comissao,19,float,YES,NULL,53,NULL,0
vl_comissao,20,float,YES,NULL,53,NULL,0
