TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,CONSTRAINT_NAME,FK_NAME
------------,----------,-----------,----------------,---------,-----------,------------------------,-----------------,-------------,---------------,-------
CRIZAFAUX,CotComprasItem,id,1,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,CotComprasItem,ic_fechado,2,bit,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,CotComprasItem,cd_empresa,3,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,CotComprasItem,cd_cot_compras,4,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,CotComprasItem,cd_item,5,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,CotComprasItem,cd_status,6,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,CotComprasItem,cd_tipo_elemento,7,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,CotComprasItem,cd_produto,8,nvarchar,YES,-1,NULL,NULL,NULL,NULL
CRIZAFAUX,CotComprasItem,cd_tipo_produto,9,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,CotComprasItem,dim01,10,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,CotComprasItem,dim02,11,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,CotComprasItem,dim03,12,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,CotComprasItem,nm_descricao,13,nvarchar,YES,-1,NULL,NULL,NULL,NULL
CRIZAFAUX,CotComprasItem,nm_desenho,14,nvarchar,YES,-1,NULL,NULL,NULL,NULL
CRIZAFAUX,CotComprasItem,nm_revisao,15,nvarchar,YES,-1,NULL,NULL,NULL,NULL
CRIZAFAUX,CotComprasItem,vl_quantidade,16,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,CotComprasItem,vl_comprimento,17,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,CotComprasItem,cd_unidade,18,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,CotComprasItem,def_dim01,19,nvarchar,YES,-1,NULL,NULL,NULL,NULL
CRIZAFAUX,CotComprasItem,def_dim02,20,nvarchar,YES,-1,NULL,NULL,NULL,NULL
