COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
ic_fechado,2,bit,YES,NULL,NULL,NULL,0
cd_empresa,3,bigint,YES,NULL,19,0,0
dt_Solicitacao,4,datetime2,YES,NULL,NULL,NULL,0
cd_status,5,bigint,YES,NULL,19,0,0
cd_funcionario,6,bigint,YES,NULL,19,0,0
cd_funcionario_req,7,bigint,YES,NULL,19,0,0
dt_resposta,8,datetime2,YES,NULL,NULL,NULL,0
nm_comentario,9,nvarchar,YES,-1,NULL,NULL,0
