COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
dt_calculo,2,datetime2,YES,NULL,NULL,NULL,0
cd_tipo_origem,3,bigint,YES,NULL,19,0,0
cd_codigo_documento,4,bigint,YES,NULL,19,0,0
cd_cod_item_doc,5,bigint,YES,NULL,19,0,0
cd_cliente_calculo,6,bigint,YES,NULL,19,0,0
cd_grupo_estoque,7,bigint,YES,NULL,19,0,0
cd_tipo_estoque,8,bigint,YES,NULL,19,0,0
cd_produto,9,nvarchar,YES,-1,NULL,NULL,0
vl_dim_01,10,float,YES,NULL,53,NULL,0
vl_dim_02,11,float,YES,NULL,53,NULL,0
vl_dim_03,12,float,YES,NULL,53,NULL,0
cd_entidade_estoque,13,bigint,YES,NULL,19,0,0
ic_peca_nova,14,bit,YES,NULL,NULL,NULL,0
ds_produto,15,nvarchar,YES,-1,NULL,NULL,0
vl_setup,16,float,YES,NULL,53,NULL,0
vl_mk_setup,17,float,YES,NULL,53,NULL,0
vl_producao,18,float,YES,NULL,53,NULL,0
vl_mk_producao,19,float,YES,NULL,53,NULL,0
vl_mk_fabrica,20,float,YES,NULL,53,NULL,0
