COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id_calculo,1,bigint,YES,NULL,19,0,0
dt_calculo,2,datetime2,YES,NULL,NULL,NULL,0
id,3,bigint,YES,NULL,19,0,0
id_parent,4,bigint,YES,NULL,19,0,0
cd_tipo,5,bigint,YES,NULL,19,0,0
nm_produto,6,nvarchar,YES,-1,NULL,NULL,0
ds_produto,7,nvarchar,YES,-1,NULL,NULL,0
vl_quantidade,8,float,YES,NULL,53,NULL,0
cd_operacao,9,bigint,YES,NULL,19,0,0
cd_tipo_recurso,10,bigint,YES,NULL,19,0,0
cd_recurso,11,bigint,YES,NULL,19,0,0
nm_recurso,12,nvarchar,YES,-1,NULL,NULL,0
cd_unidade_processo,13,bigint,YES,NULL,19,0,0
vl_tempo_setup,14,float,YES,NULL,53,NULL,0
vl_custo_hora_setup,15,float,YES,NULL,53,NULL,0
vl_tempo_producao,16,float,YES,NULL,53,NULL,0
vl_custo_producao,17,float,YES,NULL,53,NULL,0
vl_operadores,18,bigint,YES,NULL,19,0,0
cd_tipo_terceiros,19,nvarchar,YES,-1,NULL,NULL,0
cd_fornecedor,20,bigint,YES,NULL,19,0,0
