TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,CONSTRAINT_NAME,FK_NAME
------------,----------,-----------,----------------,---------,-----------,------------------------,-----------------,-------------,---------------,-------
CRIZAFAUX,CustoArvoreDetalhes,id_calculo,1,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,CustoArvoreDetalhes,dt_calculo,2,datetime2,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,CustoArvoreDetalhes,id,3,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,CustoArvoreDetalhes,id_parent,4,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,CustoArvoreDetalhes,cd_tipo,5,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,CustoArvoreDetalhes,nm_produto,6,nvarchar,YES,-1,NULL,NULL,NULL,NULL
CRIZAFAUX,CustoArvoreDetalhes,ds_produto,7,nvarchar,YES,-1,NULL,NULL,NULL,NULL
CRIZAFAUX,CustoArvoreDetalhes,vl_quantidade,8,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,CustoArvoreDetalhes,cd_operacao,9,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,CustoArvoreDetalhes,cd_tipo_recurso,10,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,CustoArvoreDetalhes,cd_recurso,11,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,CustoArvoreDetalhes,nm_recurso,12,nvarchar,YES,-1,NULL,NULL,NULL,NULL
CRIZAFAUX,CustoArvoreDetalhes,cd_unidade_processo,13,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,CustoArvoreDetalhes,vl_tempo_setup,14,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,CustoArvoreDetalhes,vl_custo_hora_setup,15,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,CustoArvoreDetalhes,vl_tempo_producao,16,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,CustoArvoreDetalhes,vl_custo_producao,17,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,CustoArvoreDetalhes,vl_operadores,18,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,CustoArvoreDetalhes,cd_tipo_terceiros,19,nvarchar,YES,-1,NULL,NULL,NULL,NULL
CRIZAFAUX,CustoArvoreDetalhes,cd_fornecedor,20,bigint,YES,NULL,19,0,NULL,NULL
