COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
cd_tipo_calculo,2,bigint,YES,NULL,19,0,0
dt_calclulo,3,datetime2,YES,NULL,NULL,NULL,0
cd_cliente,4,bigint,YES,NULL,19,0,0
nm_cliente,5,nvarchar,YES,-1,NULL,NULL,0
cd_grupo_estoque,6,bigint,YES,NULL,19,0,0
cd_peca,7,nvarchar,YES,-1,NULL,NULL,0
cd_tipo_produto,8,bigint,YES,NULL,19,0,0
vl_d1,9,float,YES,NULL,53,NULL,0
vl_d2,10,float,YES,NULL,53,NULL,0
vl_d3,11,float,YES,NULL,53,NULL,0
cd_entidade,12,bigint,YES,NULL,19,0,0
ds_peca,13,nvarchar,YES,-1,NULL,NULL,0
cd_pedido_venda,14,bigint,YES,NULL,19,0,0
cd_ped_venda_item,15,bigint,YES,NULL,19,0,0
cd_cadencia,16,bigint,YES,NULL,19,0,0
nm_unid_neg,17,nvarchar,YES,-1,NULL,NULL,0
nm_grupo_venda,18,nvarchar,YES,-1,NULL,NULL,0
vl_preco_unit_bruto,19,float,YES,NULL,53,NULL,0
vl_preco_unit_liq,20,float,YES,NULL,53,NULL,0
