COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
cd_cliente,1,bigint,YES,NULL,19,0,0
cd_produto,2,nvarchar,YES,-1,NULL,NULL,0
vl_custo,3,decimal,YES,NULL,38,19,0
vl_preco_unitario,4,decimal,YES,NULL,38,19,0
vl_pis,5,decimal,YES,NULL,38,19,0
vl_cofins,6,decimal,YES,NULL,38,19,0
vl_icms,7,decimal,YES,NULL,38,19,0
vl_despesa_financ,8,decimal,YES,NULL,38,19,0
vl_frete,9,decimal,YES,NULL,38,19,0
vl_lucro,10,decimal,YES,NULL,38,19,0
vl_margem,11,decimal,YES,NULL,38,19,0
pc_margem,12,decimal,YES,NULL,38,19,0
vl_custo_fabricacao,13,decimal,YES,NULL,38,19,0
vl_custo_terceiros,14,decimal,YES,NULL,38,19,0
vl_custo_materia,15,decimal,YES,NULL,38,19,0
vl_custo_comp,16,decimal,YES,NULL,38,19,0
