TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,CONSTRAINT_NAME,FK_NAME
------------,----------,-----------,----------------,---------,-----------,------------------------,-----------------,-------------,---------------,-------
CRIZAFAUX,Custo_Produto,cd_cliente,1,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,Custo_Produto,cd_produto,2,nvarchar,YES,-1,NULL,NULL,NULL,NULL
CRIZAFAUX,Custo_Produto,vl_custo,3,decimal,YES,NULL,38,19,NULL,NULL
CRIZAFAUX,Custo_Produto,vl_preco_unitario,4,decimal,YES,NULL,38,19,NULL,NULL
CRIZAFAUX,Custo_Produto,vl_pis,5,decimal,YES,NULL,38,19,NULL,NULL
CRIZAFAUX,Custo_Produto,vl_cofins,6,decimal,YES,NULL,38,19,NULL,NULL
CRIZAFAUX,Custo_Produto,vl_icms,7,decimal,YES,NULL,38,19,NULL,NULL
CRIZAFAUX,Custo_Produto,vl_despesa_financ,8,decimal,YES,NULL,38,19,NULL,NULL
CRIZAFAUX,Custo_Produto,vl_frete,9,decimal,YES,NULL,38,19,NULL,NULL
CRIZAFAUX,Custo_Produto,vl_lucro,10,decimal,YES,NULL,38,19,NULL,NULL
CRIZAFAUX,Custo_Produto,vl_margem,11,decimal,YES,NULL,38,19,NULL,NULL
CRIZAFAUX,Custo_Produto,pc_margem,12,decimal,YES,NULL,38,19,NULL,NULL
CRIZAFAUX,Custo_Produto,vl_custo_fabricacao,13,decimal,YES,NULL,38,19,NULL,NULL
CRIZAFAUX,Custo_Produto,vl_custo_terceiros,14,decimal,YES,NULL,38,19,NULL,NULL
CRIZAFAUX,Custo_Produto,vl_custo_materia,15,decimal,YES,NULL,38,19,NULL,NULL
CRIZAFAUX,Custo_Produto,vl_custo_comp,16,decimal,YES,NULL,38,19,NULL,NULL
