COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
cd_tipo_ligacao,2,bigint,YES,NULL,19,0,0
cd_ligacao,3,bigint,YES,NULL,19,0,0
cd_ligacao_item,4,bigint,YES,NULL,19,0,0
cd_ligacao_sub_item,5,bigint,YES,NULL,19,0,0
nm_ligacao,6,nvarchar,YES,-1,NULL,NULL,0
nm_documento,7,nvarchar,YES,-1,NULL,NULL,0
nm_titulo,8,nvarchar,YES,-1,NULL,NULL,0
cd_mime,9,nvarchar,YES,-1,NULL,NULL,0
br_documento,10,varbinary,YES,-1,NULL,NULL,0
