COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
cd_grupo,2,bigint,YES,NULL,19,0,0
cd_entidade,3,bigint,YES,NULL,19,0,0
cd_arquivo,4,bigint,YES,NULL,19,0,0
cd_versao,5,bigint,YES,NULL,19,0,0
dt_envio,6,datetime2,YES,NULL,NULL,NULL,0
nm_enviou,7,nvarchar,YES,-1,NULL,NULL,0
nm_email,8,nvarchar,YES,-1,NULL,NULL,0
cd_tipo_doc,9,bigint,YES,NULL,19,0,0
cd_documento,10,bigint,YES,NULL,19,0,0
nm_documento,11,nvarchar,YES,-1,NULL,NULL,0
cd_grupo_estoque,12,bigint,YES,NULL,19,0,0
cd_tipo_estoque,13,bigint,YES,NULL,19,0,0
nm_estoque,14,nvarchar,YES,-1,NULL,NULL,0
vl_dim01,15,float,YES,NULL,53,NULL,0
vl_dim02,16,float,YES,NULL,53,NULL,0
vl_dim03,17,float,YES,NULL,53,NULL,0
cd_entidade_estoque,18,bigint,YES,NULL,19,0,0
