COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
cd_tipo,2,bigint,YES,NULL,19,0,0
cd_entidade,3,bigint,YES,NULL,19,0,0
cd_tratamento,4,bigint,YES,NULL,19,0,0
nm_nome,5,nvarchar,YES,-1,NULL,NULL,0
nm_sobrenome,6,nvarchar,YES,-1,NULL,NULL,0
nm_cargo,7,nvarchar,YES,-1,NULL,NULL,0
ds_endereco,8,nvarchar,YES,-1,NULL,NULL,0
nm_especialidade,9,nvarchar,YES,-1,NULL,NULL,0
dt_cadastro,10,datetime2,YES,NULL,NULL,NULL,0
nm_telefone,11,nvarchar,YES,-1,NULL,NULL,0
nm_telefone_part,12,nvarchar,YES,-1,NULL,NULL,0
cd_tipoEndereco,13,bigint,YES,NULL,19,0,0
nm_email,14,nvarchar,YES,-1,NULL,NULL,0
nm_email_part,15,nvarchar,YES,-1,NULL,NULL,0
nm_celular,16,nvarchar,YES,-1,NULL,NULL,0
nm_celular_part,17,nvarchar,YES,-1,NULL,NULL,0
ic_inativo,18,bit,YES,NULL,NULL,NULL,0
dt_email_mkt,19,datetime2,YES,NULL,NULL,NULL,0
nm_assunto_mkt,20,nvarchar,YES,-1,NULL,NULL,0
