COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
cd_tipo,1,bigint,YES,NULL,19,0,0
cd_entidade,2,bigint,YES,NULL,19,0,0
ic_produtivo,3,bit,YES,NULL,NULL,NULL,0
dt_certificacao,4,datetime2,YES,NULL,NULL,NULL,0
cd_certificacao,5,bigint,YES,NULL,19,0,0
ic_inativo,6,bit,YES,NULL,NULL,NULL,0
cd_pais,7,bigint,YES,NULL,19,0,0
nm_razao_social,8,nvarchar,YES,-1,NULL,NULL,0
cd_estado,9,bigint,YES,NULL,19,0,0
cd_cidade,10,bigint,YES,NULL,19,0,0
cd_tipo_envio_xml,11,bigint,YES,NULL,19,0,0
im_logo,12,varbinary,YES,-1,NULL,NULL,0
cd_tipo_etiqueta,13,bigint,YES,NULL,19,0,0
dt_email_certif,14,datetime2,YES,NULL,NULL,NULL,0
cd_registro_certif,15,nvarchar,YES,-1,NULL,NULL,0
cd_criticidade,16,nvarchar,YES,-1,NULL,NULL,0
ic_xml_obrigatorio,17,bit,YES,NULL,NULL,NULL,0
ic_bloqueado,18,bit,YES,NULL,NULL,NULL,0
cd_representante,19,bigint,YES,NULL,19,0,0
cd_transportadora,20,bigint,YES,NULL,19,0,0
