COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
GROUPE,1,bigint,YES,NULL,19,0,0
REFERENCE,2,nvarchar,YES,-1,NULL,NULL,0
TYPE_ART,3,bigint,YES,NULL,19,0,0
D1,4,float,YES,NULL,53,NULL,0
D2,5,float,YES,NULL,53,NULL,0
D3,6,float,YES,NULL,53,NULL,0
CODE_CLIENT,7,bigint,YES,NULL,19,0,0
ic_produtivo,8,bit,YES,NULL,NULL,NULL,0
ic_inativo,9,bit,YES,NULL,NULL,NULL,0
ic_skip_lote,10,bit,YES,NULL,NULL,NULL,0
cd_skip_lote,11,bigint,YES,NULL,19,0,0
nm_rec_skip_lote,12,bigint,YES,NULL,19,0,0
cd_imposto_compra,13,bigint,YES,NULL,19,0,0
cd_imposto_venda,14,bigint,YES,NULL,19,0,0
nm_desenho,15,nvarchar,YES,-1,NULL,NULL,0
vl_desenho_rev,16,nvarchar,YES,-1,NULL,NULL,0
dt_revisao,17,datetime2,YES,NULL,NULL,NULL,0
cd_cest,18,nvarchar,YES,-1,NULL,NULL,0
cd_abc,19,nvarchar,YES,-1,NULL,NULL,0
vl_digitado,20,float,YES,NULL,53,NULL,0
