TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,CONSTRAINT_NAME,FK_NAME
------------,----------,-----------,----------------,---------,-----------,------------------------,-----------------,-------------,---------------,-------
CRIZAFAUX,Estoque_Aux,GROUPE,1,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,Estoque_Aux,REFERENCE,2,nvarchar,YES,-1,NULL,NULL,NULL,NULL
CRIZAFAUX,Estoque_Aux,TYPE_ART,3,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,Estoque_Aux,D1,4,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,Estoque_Aux,D2,5,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,Estoque_Aux,D3,6,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,Estoque_Aux,CODE_CLIENT,7,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,Estoque_Aux,ic_produtivo,8,bit,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,Estoque_Aux,ic_inativo,9,bit,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,Estoque_Aux,ic_skip_lote,10,bit,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,Estoque_Aux,cd_skip_lote,11,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,Estoque_Aux,nm_rec_skip_lote,12,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,Estoque_Aux,cd_imposto_compra,13,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,Estoque_Aux,cd_imposto_venda,14,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,Estoque_Aux,nm_desenho,15,nvarchar,YES,-1,NULL,NULL,NULL,NULL
CRIZAFAUX,Estoque_Aux,vl_desenho_rev,16,nvarchar,YES,-1,NULL,NULL,NULL,NULL
CRIZAFAUX,Estoque_Aux,dt_revisao,17,datetime2,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,Estoque_Aux,cd_cest,18,nvarchar,YES,-1,NULL,NULL,NULL,NULL
CRIZAFAUX,Estoque_Aux,cd_abc,19,nvarchar,YES,-1,NULL,NULL,NULL,NULL
CRIZAFAUX,Estoque_Aux,vl_digitado,20,float,YES,NULL,53,NULL,NULL,NULL
