COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
nm_idioma,2,nvarchar,YES,-1,NULL,NULL,0
nm_lote,3,nvarchar,YES,-1,NULL,NULL,0
nm_proibido_reproc,4,nvarchar,YES,-1,NULL,NULL,0
nm_official,5,nvarchar,YES,-1,NULL,NULL,0
nm_verificacao,6,nvarchar,YES,-1,NULL,NULL,0
nm_tecnico,7,nvarchar,YES,-1,NULL,NULL,0
nm_materia,8,nvarchar,YES,-1,NULL,NULL,0
nm_unidade,9,nvarchar,YES,-1,NULL,NULL,0
nm_anvisa,10,nvarchar,YES,-1,NULL,NULL,0
nm_nao_esteril,11,nvarchar,YES,-1,NULL,NULL,0
nm_endereco_01,12,nvarchar,YES,-1,NULL,NULL,0
nm_endereco_02,13,nvarchar,YES,-1,NULL,NULL,0
nm_endereco_03,14,nvarchar,YES,-1,NULL,NULL,0
nm_esteril,15,nvarchar,YES,-1,NULL,NULL,0
nm_ver_instrucao_uso,16,nvarchar,YES,-1,NULL,NULL,0
nm_uso_unico,17,nvarchar,YES,-1,NULL,NULL,0
nm_validade_indet,18,nvarchar,YES,-1,NULL,NULL,0
nm_referencia,19,nvarchar,YES,-1,NULL,NULL,0
nm_quantidade,20,nvarchar,YES,-1,NULL,NULL,0
