COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
cd_ficha,1,bigint,YES,NULL,19,0,0
cd_item,2,bigint,YES,NULL,19,0,0
nm_sigla_faturamento,3,nvarchar,YES,-1,NULL,NULL,0
nm_valor_faturamento,4,float,YES,NULL,53,NULL,0
cd_cfop_interna,5,bigint,YES,NULL,19,0,0
cd_tipo_nota,6,bigint,YES,NULL,19,0,0
cd_id_cadencia,7,bigint,YES,NULL,19,0,0
nm_contrato,8,nvarchar,YES,-1,NULL,NULL,0
nm_spool,9,nvarchar,YES,-1,NULL,NULL,0
cd_tipo_venda,10,nvarchar,YES,-1,NULL,NULL,0
cd_tarifa_venda,11,bigint,YES,NULL,19,0,0
cd_item_contrato,12,bigint,YES,NULL,19,0,0
cd_tipo_estoque,13,bigint,YES,NULL,19,0,0
cd_tipo_produto,14,bigint,YES,NULL,19,0,0
vl_d1,15,float,YES,NULL,53,NULL,0
vl_d2,16,float,YES,NULL,53,NULL,0
vl_d3,17,float,YES,NULL,53,NULL,0
cd_entidade_estoque,18,bigint,YES,NULL,19,0,0
