COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
descricao,2,nvarchar,YES,-1,NULL,NULL,0
aceite,3,nvarchar,YES,-1,NULL,NULL,0
docEspecie,4,bigint,YES,NULL,19,0,0
localPagamento,5,nvarchar,YES,-1,NULL,NULL,0
codDesconto,6,bigint,YES,NULL,19,0,0
dataDesconto,7,bigint,YES,NULL,19,0,0
valorDescontoTaxa,8,float,YES,NULL,53,NULL,0
codDesconto2,9,bigint,YES,NULL,19,0,0
dataDesconto2,10,bigint,YES,NULL,19,0,0
valorDescontoTaxa2,11,float,YES,NULL,53,NULL,0
codigoJuros,12,bigint,YES,NULL,19,0,0
dataJuros,13,bigint,YES,NULL,19,0,0
valorJuros,14,float,YES,NULL,53,NULL,0
codigoMulta,15,bigint,YES,NULL,19,0,0
dataMulta,16,bigint,YES,NULL,19,0,0
valorMultaTaxa,17,float,YES,NULL,53,NULL,0
codProtesto,18,bigint,YES,NULL,19,0,0
prazoProtesto,19,bigint,YES,NULL,19,0,0
codBaixaDevolucao,20,bigint,YES,NULL,19,0,0
