COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
cd_tipo,2,bigint,YES,NULL,19,0,0
dt_baixa,3,datetime2,YES,NULL,NULL,NULL,0
cd_codigo_titulo,4,bigint,YES,NULL,19,0,0
cd_banco,5,bigint,YES,NULL,19,0,0
vl_baixa,6,float,YES,NULL,53,NULL,0
ds_descricao,7,nvarchar,YES,-1,NULL,NULL,0
nm_cnpj,8,nvarchar,YES,-1,NULL,NULL,0
nm_documento,9,nvarchar,YES,-1,NULL,NULL,0
nm_razao_social,10,nvarchar,YES,-1,NULL,NULL,0
vl_saldo,11,float,YES,NULL,53,NULL,0
ic_consolidado,12,bit,YES,NULL,NULL,NULL,0
dt_consolidacao,13,datetime2,YES,NULL,NULL,NULL,0
nm_consolidador,14,nvarchar,YES,-1,NULL,NULL,0
cd_cheque,15,bigint,YES,NULL,19,0,0
cd_empresa,16,bigint,YES,NULL,19,0,0
ic_tesouraria,17,bit,YES,NULL,NULL,NULL,0
cd_conta_reduzida,18,bigint,YES,NULL,19,0,0
ic_nao_contabilizar,19,bit,YES,NULL,NULL,NULL,0
