COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
id_banco,2,bigint,YES,NULL,19,0,0
id_conta_plugboleto,3,bigint,YES,NULL,19,0,0
id_convenio_plug,4,bigint,YES,NULL,19,0,0
dt_cadastramento,5,datetime2,YES,NULL,NULL,NULL,0
dt_atualizacao,6,datetime2,YES,NULL,NULL,NULL,0
nm_numero_convenio,7,nvarchar,YES,-1,NULL,NULL,0
ds_convenio,8,nvarchar,YES,-1,NULL,NULL,0
nm_carteira,9,nvarchar,YES,-1,NULL,NULL,0
nm_especie,10,nvarchar,YES,-1,NULL,NULL,0
nm_padrao_cnab,11,nvarchar,YES,-1,NULL,NULL,0
ic_reinicia_diario,12,bit,YES,NULL,NULL,NULL,0
vl_remessa,13,bigint,YES,NULL,19,0,0
ic_utiliza_van,14,bit,YES,NULL,NULL,NULL,0
nm_dencidade_remessa,15,nvarchar,YES,-1,NULL,NULL,0
ic_reg_instantaneo,16,bit,YES,NULL,NULL,NULL,0
nm_api_id,17,nvarchar,YES,-1,NULL,NULL,0
nm_api_key,18,nvarchar,YES,-1,NULL,NULL,0
nm_api_secret,19,nvarchar,YES,-1,NULL,NULL,0
nm_estacao,20,nvarchar,YES,-1,NULL,NULL,0
