COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
dt_movimento,2,datetime2,YES,NULL,NULL,NULL,0
dt_emissao,3,datetime2,YES,NULL,NULL,NULL,0
cd_tipo,4,bigint,YES,NULL,19,0,0
ic_previsao,5,bit,YES,NULL,NULL,NULL,0
ds_titulo,6,nvarchar,YES,-1,NULL,NULL,0
cd_cliente,7,bigint,YES,NULL,19,0,0
nm_documento,8,nvarchar,YES,-1,NULL,NULL,0
vl_sequencia_de,9,bigint,YES,NULL,19,0,0
vl_sequencia_ate,10,bigint,YES,NULL,19,0,0
dt_vencimento,11,datetime2,YES,NULL,NULL,NULL,0
dt_vencimento_negoci,12,datetime2,YES,NULL,NULL,NULL,0
vl_titulo,13,float,YES,NULL,53,NULL,0
vl_titulo_negociado,14,float,YES,NULL,53,NULL,0
nm_competencia,15,nvarchar,YES,-1,NULL,NULL,0
nm_natureza_document,16,nvarchar,YES,-1,NULL,NULL,0
cd_financeiro,17,bigint,YES,NULL,19,0,0
cd_banco,18,bigint,YES,NULL,19,0,0
pc_juros,19,float,YES,NULL,53,NULL,0
pc_desconto,20,float,YES,NULL,53,NULL,0
