COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
cdTopIdOperacao,1,bigint,YES,NULL,19,0,0
dsFmea,2,nvarchar,YES,-1,NULL,NULL,0
nmEquipeFmea,3,nvarchar,YES,-1,NULL,NULL,0
dtRevisaoFmea,4,datetime2,YES,NULL,NULL,NULL,0
dtInicioFmea,5,datetime2,YES,NULL,NULL,NULL,0
dtChaveFmea,6,datetime2,YES,NULL,NULL,NULL,0
cdFmeaPreparado,7,bigint,YES,NULL,19,0,0
cdFmeaAprovado,8,bigint,YES,NULL,19,0,0
cdFmeaResponsavel,9,bigint,YES,NULL,19,0,0
dsObservacaoFmea,10,nvarchar,YES,-1,NULL,NULL,0
cdTipoControle,11,bigint,YES,NULL,19,0,0
tipoFmea,12,bigint,YES,NULL,19,0,0
isFmea,13,bit,YES,NULL,NULL,NULL,0
dsSituacaoAcao,14,nvarchar,YES,-1,NULL,NULL,0
totalNprPa,15,bigint,YES,NULL,19,0,0
totalNprPa2,16,bigint,YES,NULL,19,0,0
