COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
cd_frete,1,bigint,YES,NULL,19,0,0
cd_frete_item,2,bigint,YES,NULL,19,0,0
cd_documento,3,bigint,YES,NULL,19,0,0
cd_item_documento,4,bigint,YES,NULL,19,0,0
cd_tipo_documento,5,bigint,YES,NULL,19,0,0
cd_processo,6,nvarchar,YES,-1,NULL,NULL,0
cd_processo_fase,7,bigint,YES,NULL,19,0,0
nm_peca,8,nvarchar,YES,-1,NULL,NULL,0
qt_peca,9,bigint,YES,NULL,19,0,0
qt_peso_total,10,decimal,YES,NULL,38,19,0
qt_embalagens,11,bigint,YES,NULL,19,0,0
qt_container,12,decimal,YES,NULL,38,19,0
cd_entidade,13,bigint,YES,NULL,19,0,0
cd_tipo_entidade,14,bigint,YES,NULL,19,0,0
cd_embalagem,15,nvarchar,YES,-1,NULL,NULL,0
vl_preco,16,decimal,YES,NULL,38,19,0
pc_rateio_preco,17,decimal,YES,NULL,38,19,0
cd_documento_receb,18,bigint,YES,NULL,19,0,0
ic_causa_frete,19,bit,YES,NULL,NULL,NULL,0
