COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
cd_funcionario,1,bigint,YES,NULL,19,0,0
cd_departamento,2,bigint,YES,NULL,19,0,0
nm_rg,3,nvarchar,YES,-1,NULL,NULL,0
nm_rg_emissor,4,nvarchar,YES,-1,NULL,NULL,0
nm_cpf,5,nvarchar,YES,-1,NULL,NULL,0
nm_endereco,6,nvarchar,YES,-1,NULL,NULL,0
nm_endereco_comp,7,nvarchar,YES,-1,NULL,NULL,0
cd_pais,8,bigint,YES,NULL,19,0,0
cd_uf,9,bigint,YES,NULL,19,0,0
cd_cidade,10,bigint,YES,NULL,19,0,0
nm_bairro,11,nvarchar,YES,-1,NULL,NULL,0
nm_cep,12,nvarchar,YES,-1,NULL,NULL,0
nm_nacionalidade,13,nvarchar,YES,-1,NULL,NULL,0
nm_ctps,14,nvarchar,YES,-1,NULL,NULL,0
nm_ctps_serie,15,nvarchar,YES,-1,NULL,NULL,0
dt_ctps,16,datetime2,YES,NULL,NULL,NULL,0
nm_reservista,17,nvarchar,YES,-1,NULL,NULL,0
nm_reservista_car,18,nvarchar,YES,-1,NULL,NULL,0
nm_titulo_eleitor,19,nvarchar,YES,-1,NULL,NULL,0
nm_titulo_zona,20,nvarchar,YES,-1,NULL,NULL,0
