COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
cd_id,1,bigint,YES,NULL,19,0,0
cd_funcionario,2,bigint,YES,NULL,19,0,0
cd_treinamento,3,bigint,YES,NULL,19,0,0
dt_inicio_treinam,4,datetime2,YES,NULL,NULL,NULL,0
dt_termino_treinam,5,datetime2,YES,NULL,NULL,NULL,0
qt_nota_treinamento,6,nvarchar,YES,-1,NULL,NULL,0
qt_carga_horaria,7,decimal,YES,NULL,38,19,0
nm_instituicao,8,nvarchar,YES,-1,NULL,NULL,0
ic_remover_matriz,9,bit,YES,NULL,NULL,NULL,0
