COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
Date_saisie,1,datetime2,YES,NULL,NULL,NULL,0
GROUPE,2,bigint,YES,NULL,19,0,0
CODE_ope,3,bigint,YES,NULL,19,0,0
type_machine,4,bigint,YES,NULL,19,0,0
code_machine,5,bigint,YES,NULL,19,0,0
code_impro,6,bigint,YES,NULL,19,0,0
dummy_saisie,7,bigint,YES,NULL,19,0,0
centieme_saisie,8,bigint,YES,NULL,19,0,0
seconde_saisie,9,bigint,YES,NULL,19,0,0
minute_saisie,10,bigint,YES,NULL,19,0,0
heure_saisie,11,bigint,YES,NULL,19,0,0
tps_alloue1,12,float,YES,NULL,53,NULL,0
tps_alloue2,13,float,YES,NULL,53,NULL,0
tps_alloue3,14,float,YES,NULL,53,NULL,0
tps_passe_prepa,15,float,YES,NULL,53,NULL,0
tps_passe_usinage,16,float,YES,NULL,53,NULL,0
tps_passe_ctrl,17,float,YES,NULL,53,NULL,0
op_time,18,nvarchar,YES,-1,NULL,NULL,0
qte_finie,19,bigint,YES,NULL,19,0,0
qte_bonne,20,bigint,YES,NULL,19,0,0
