COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
VALIDE,1,bit,YES,NULL,NULL,NULL,0
TYPE_MVT,2,bigint,YES,NULL,19,0,0
DATE_MVT,3,datetime2,YES,NULL,NULL,NULL,0
MINUTE_MVT,4,bigint,YES,NULL,19,0,0
CENT_MVT,5,bigint,YES,NULL,19,0,0
GRP_article,6,bigint,YES,NULL,19,0,0
REF__ART,7,nvarchar,YES,-1,NULL,NULL,0
TYPE_MAT,8,bigint,YES,NULL,19,0,0
D1,9,float,YES,NULL,53,NULL,0
D2,10,float,YES,NULL,53,NULL,0
D3,11,float,YES,NULL,53,NULL,0
CODE_CLIENT,12,bigint,YES,NULL,19,0,0
LONGEUR,13,float,YES,NULL,53,NULL,0
QTE,14,float,YES,NULL,53,NULL,0
REF_OR,15,nvarchar,YES,-1,NULL,NULL,0
AFFAIRE,16,bigint,YES,NULL,19,0,0
OF,17,bigint,YES,NULL,19,0,0
PIECE,18,nvarchar,YES,-1,NULL,NULL,0
ID,19,bigint,YES,NULL,19,0,0
ID_BARRE,20,bigint,YES,NULL,19,0,0
