COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
codigoInventario,2,bigint,YES,NULL,19,0,0
grupoEstoque,3,bigint,YES,NULL,19,0,0
tipoEstoque,4,bigint,YES,NULL,19,0,0
codigoProduto,5,nvarchar,YES,-1,NULL,NULL,0
d1,6,float,YES,NULL,53,NULL,0
d2,7,float,YES,NULL,53,NULL,0
d3,8,float,YES,NULL,53,NULL,0
codigoEntidade,9,bigint,YES,NULL,19,0,0
familia,10,nvarchar,YES,500,NULL,NULL,0
subFamilia,11,nvarchar,YES,500,NULL,NULL,0
quantidadeEstoque,12,nvarchar,YES,500,NULL,NULL,0
quantiadeInventario,13,nvarchar,YES,500,NULL,NULL,0
isMovimentar,14,bit,YES,NULL,NULL,NULL,0
isMovimentado,15,bit,YES,NULL,NULL,NULL,0
icEncontrado,16,bit,YES,NULL,NULL,NULL,0
nmLote,17,nvarchar,YES,500,NULL,NULL,0
nmLoteExterno,18,nvarchar,YES,500,NULL,NULL,0
nmLocal,19,nvarchar,YES,500,NULL,NULL,0
nmTipoMaterial,20,nvarchar,YES,500,NULL,NULL,0
