COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
codigoInventario,2,int,YES,NULL,10,0,0
contagem,3,int,YES,NULL,10,0,0
grupoEstoque,4,int,YES,NULL,10,0,0
codigoEstoque,5,nvarchar,YES,500,NULL,NULL,0
tipoProduto,6,int,YES,NULL,10,0,0
d1,7,nvarchar,YES,500,NULL,NULL,0
d2,8,nvarchar,YES,500,NULL,NULL,0
d3,9,nvarchar,YES,500,NULL,NULL,0
codigoCliente,10,int,YES,NULL,10,0,0
quantidade,11,nvarchar,YES,500,NULL,NULL,0
lote,12,nvarchar,YES,500,NULL,NULL,0
local,13,nvarchar,YES,500,NULL,NULL,0
digitador,14,nvarchar,YES,500,NULL,NULL,0
maquina,15,nvarchar,YES,500,NULL,NULL,0
dataDigitacao,16,datetime2,YES,NULL,NULL,NULL,0
codigoContador,17,int,YES,NULL,10,0,0
dataContagem,18,datetime2,YES,NULL,NULL,NULL,0
codigoFichaContagem,19,int,YES,NULL,10,0,0
icEncontrado,20,bit,YES,NULL,NULL,NULL,0
