COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
data,2,datetime2,YES,NULL,NULL,NULL,0
gp_estoque,3,int,YES,NULL,10,0,0
tp_estoque,4,int,YES,NULL,10,0,0
cd_produto,5,nvarchar,YES,500,NULL,NULL,0
ds_produto,6,nvarchar,YES,500,NULL,NULL,0
d1,7,nvarchar,YES,500,NULL,NULL,0
d2,8,nvarchar,YES,500,NULL,NULL,0
d3,9,nvarchar,YES,500,NULL,NULL,0
nm_familia,10,nvarchar,YES,500,NULL,NULL,0
nm_sub_familia,11,nvarchar,YES,500,NULL,NULL,0
cd_ncm,12,nvarchar,YES,500,NULL,NULL,0
qde_estoque,13,nvarchar,YES,500,NULL,NULL,0
cd_unidade,14,int,YES,NULL,10,0,0
vl_unitario_estoque,15,nvarchar,YES,500,NULL,NULL,0
vl_total_estoque,16,nvarchar,YES,500,NULL,NULL,0
qde_processo,17,nvarchar,YES,500,NULL,NULL,0
vl_unitario_processo,18,nvarchar,YES,500,NULL,NULL,0
vl_total_processo,19,nvarchar,YES,500,NULL,NULL,0
cd_tipo_preco,20,int,YES,NULL,10,0,0
