COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
cd_tipo_estoque,2,bigint,YES,NULL,19,0,0
cd_produto,3,nvarchar,YES,500,NULL,NULL,0
cd_tipo_produto,4,bigint,YES,NULL,19,0,0
dimensao01,5,nvarchar,YES,500,NULL,NULL,0
dimensao02,6,nvarchar,YES,500,NULL,NULL,0
dimensao03,7,nvarchar,YES,500,NULL,NULL,0
cd_cliente,8,bigint,YES,NULL,19,0,0
cd_fornecedor,9,bigint,YES,NULL,19,0,0
dt_estoque,10,datetime2,YES,NULL,NULL,NULL,0
dt_lancamento,11,datetime2,YES,NULL,NULL,NULL,0
tipo_ajuste,12,bigint,YES,NULL,19,0,0
qde_ajustada,13,float,YES,NULL,53,NULL,0
tipo_entidade,14,bigint,YES,NULL,19,0,0
