COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
ic_bloquear,2,bit,YES,NULL,NULL,NULL,0
no_aberturas,3,bigint,YES,NULL,19,0,0
cd_resultado_envio,4,int,YES,NULL,10,0,0
dt_ultimo_envio,5,datetime2,YES,NULL,NULL,NULL,0
nm_campanha,6,nvarchar,YES,500,NULL,NULL,0
nm_erro_envio,7,nvarchar,YES,500,NULL,NULL,0
nm_email,8,nvarchar,YES,500,NULL,NULL,0
nm_origem,9,nvarchar,YES,500,NULL,NULL,0
cd_original,10,bigint,YES,NULL,19,0,0
cnpj,11,nvarchar,YES,500,NULL,NULL,0
razao_social,12,nvarchar,YES,500,NULL,NULL,0
cep,13,nvarchar,YES,500,NULL,NULL,0
uf,14,nvarchar,YES,500,NULL,NULL,0
no_funcionarios,15,bigint,YES,NULL,19,0,0
porte,16,nvarchar,YES,500,NULL,NULL,0
setor,17,nvarchar,YES,500,NULL,NULL,0
produtos,18,nvarchar,YES,500,NULL,NULL,0
cnae,19,nvarchar,YES,500,NULL,NULL,0
ds_cnae,20,nvarchar,YES,500,NULL,NULL,0
