COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
nm_modelo,2,nvarchar,YES,500,NULL,NULL,0
nm_email,3,nvarchar,YES,500,NULL,NULL,0
nm_origem,4,nvarchar,YES,500,NULL,NULL,0
cd_original,5,nvarchar,YES,500,NULL,NULL,0
cnpj,6,nvarchar,YES,500,NULL,NULL,0
razao_social,7,nvarchar,YES,500,NULL,NULL,0
cep,8,nvarchar,YES,500,NULL,NULL,0
uf,9,nvarchar,YES,500,NULL,NULL,0
no_funcionarios,10,nvarchar,YES,500,NULL,NULL,0
porte,11,nvarchar,YES,500,NULL,NULL,0
setor,12,nvarchar,YES,500,NULL,NULL,0
produtos,13,nvarchar,YES,500,NULL,NULL,0
cnae,14,nvarchar,YES,500,NULL,NULL,0
ds_cnae,15,nvarchar,YES,500,NULL,NULL,0
cnae_outros,16,nvarchar,YES,500,NULL,NULL,0
endereco,17,nvarchar,YES,500,NULL,NULL,0
bairro,18,nvarchar,YES,500,NULL,NULL,0
municipio,19,nvarchar,YES,500,NULL,NULL,0
cd_municipio,20,nvarchar,YES,500,NULL,NULL,0
