COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
cd_projeto,2,bigint,YES,NULL,19,0,0
cd_of,3,bigint,YES,NULL,19,0,0
cd_id_of,4,bigint,YES,NULL,19,0,0
cd_tipo_associacao,5,int,YES,NULL,10,0,0
cd_grupo_estoque,6,nvarchar,YES,500,NULL,NULL,0
cd_tipo_estoque,7,int,YES,NULL,10,0,0
cd_produto,8,nvarchar,YES,500,NULL,NULL,0
vl_dim01,9,float,YES,NULL,53,NULL,0
vl_dim02,10,float,YES,NULL,53,NULL,0
vl_dim03,11,float,YES,NULL,53,NULL,0
cd_entidade_estoque,12,bigint,YES,NULL,19,0,0
cd_pedido_venda,13,bigint,YES,NULL,19,0,0
cd_pedido_venda_item,14,bigint,YES,NULL,19,0,0
cd_pedido_cliente,15,bigint,YES,NULL,19,0,0
cd_cadencia,16,bigint,YES,NULL,19,0,0
cd_projeto_mrp,17,bigint,YES,NULL,19,0,0
cd_of_mrp,18,bigint,YES,NULL,19,0,0
cd_id_mrp,19,bigint,YES,NULL,19,0,0
dt_necessidade,20,datetime2,YES,NULL,NULL,NULL,0
