COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
especie,2,nvarchar,YES,500,NULL,NULL,0
cdSerieNf,3,int,YES,NULL,10,0,0
cdNf,4,int,YES,NULL,10,0,0
dtEmissaoNf,5,datetime2,YES,NULL,NULL,NULL,0
vlContabil,6,float,YES,NULL,53,NULL,0
cdContabil,7,nvarchar,YES,500,NULL,NULL,0
nmCfop,8,nvarchar,YES,500,NULL,NULL,0
dsCfop,9,nvarchar,YES,500,NULL,NULL,0
vlBaseIcms,10,float,YES,NULL,53,NULL,0
aliquotaIcms,11,float,YES,NULL,53,NULL,0
vlIcms,12,float,YES,NULL,53,NULL,0
vlIsentoIcms,13,float,YES,NULL,53,NULL,0
vlOutrosIcms,14,float,YES,NULL,53,NULL,0
vlBaseIpi,15,float,YES,NULL,53,NULL,0
vlIpi,16,float,YES,NULL,53,NULL,0
vlIsentoIpi,17,float,YES,NULL,53,NULL,0
vlOutrosIpi,18,float,YES,NULL,53,NULL,0
uf,19,nvarchar,YES,500,NULL,NULL,0
isCancelado,20,bit,YES,NULL,NULL,NULL,0
