COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
cd_empresa,2,bigint,YES,NULL,19,0,0
cd_nota_fiscal,3,bigint,YES,NULL,19,0,0
cd_serie_nota_fiscal,4,bigint,YES,NULL,19,0,0
nm_serie_nota_fiscal,5,nvarchar,YES,500,NULL,NULL,0
cd_cfop,6,bigint,YES,NULL,19,0,0
nm_cfop,7,nvarchar,YES,500,NULL,NULL,0
ds_cfop,8,nvarchar,YES,500,NULL,NULL,0
cd_fe,9,int,YES,NULL,10,0,0
cd_forma_pagto,10,bigint,YES,NULL,19,0,0
cd_transportadora,11,bigint,YES,NULL,19,0,0
cd_entidade,12,bigint,YES,NULL,19,0,0
ic_frete_emitente,13,bit,YES,NULL,NULL,NULL,0
ic_saida,14,bit,YES,NULL,NULL,NULL,0
dt_emissao,15,datetime2,YES,NULL,NULL,NULL,0
dt_saida,16,datetime2,YES,NULL,NULL,NULL,0
dt_emissao_nfe,17,datetime2,YES,NULL,NULL,NULL,0
dt_cancelamento,18,datetime2,YES,NULL,NULL,NULL,0
dt_cancelamento_nfe,19,datetime2,YES,NULL,NULL,NULL,0
ds_motivo_cancel,20,nvarchar,YES,500,NULL,NULL,0
