TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,CONSTRAINT_NAME,FK_NAME
------------,----------,-----------,----------------,---------,-----------,------------------------,-----------------,-------------,---------------,-------
CRIZAFAUX,NF,id,1,int,YES,NULL,10,0,NULL,NULL
CRIZAFAUX,NF,cd_empresa,2,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,NF,cd_nota_fiscal,3,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,NF,cd_serie_nota_fiscal,4,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,NF,nm_serie_nota_fiscal,5,nvarchar,YES,500,NULL,NULL,NULL,NULL
CRIZAFAUX,NF,cd_cfop,6,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,NF,nm_cfop,7,nvarchar,YES,500,NULL,NULL,NULL,NULL
CRIZAFAUX,NF,ds_cfop,8,nvarchar,YES,500,NULL,NULL,NULL,NULL
CRIZAFAUX,NF,cd_fe,9,int,YES,NULL,10,0,NULL,NULL
CRIZAFAUX,NF,cd_forma_pagto,10,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,NF,cd_transportadora,11,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,NF,cd_entidade,12,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,NF,ic_frete_emitente,13,bit,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,NF,ic_saida,14,bit,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,NF,dt_emissao,15,datetime2,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,NF,dt_saida,16,datetime2,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,NF,dt_emissao_nfe,17,datetime2,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,NF,dt_cancelamento,18,datetime2,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,NF,dt_cancelamento_nfe,19,datetime2,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,NF,ds_motivo_cancel,20,nvarchar,YES,500,NULL,NULL,NULL,NULL
