COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
nm_cfop_numerico,2,nvarchar,YES,500,NULL,NULL,0
nm_cfop_numerico_seq,3,nvarchar,YES,500,NULL,NULL,0
nm_cfop_exibicao,4,nvarchar,YES,500,NULL,NULL,0
nm_cfop_nfe,5,nvarchar,YES,500,NULL,NULL,0
ic_entrada,6,bit,YES,NULL,NULL,NULL,0
cd_icms_incide,7,bigint,YES,NULL,19,0,0
cd_icms_retem,8,bigint,YES,NULL,19,0,0
cd_icms_modalidade,9,bigint,YES,NULL,19,0,0
cd_modBCCST,10,bigint,YES,NULL,19,0,0
pc_valor_adic_bc_st,11,float,YES,NULL,53,NULL,0
pc_icms_padrao,12,float,YES,NULL,53,NULL,0
pc_icms_reduz,13,float,YES,NULL,53,NULL,0
cd_ipi_incide,14,bigint,YES,NULL,19,0,0
cd_ipi_retem,15,bigint,YES,NULL,19,0,0
cd_ipi_modalidade,16,bigint,YES,NULL,19,0,0
pc_ipi_padrao,17,float,YES,NULL,53,NULL,0
cd_pis_incide,18,bigint,YES,NULL,19,0,0
cd_pis_retem,19,bigint,YES,NULL,19,0,0
cd_pis_modalidade,20,bigint,YES,NULL,19,0,0
