COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
cd_empresa,1,bigint,YES,NULL,19,0,0
cd_serie_nf,2,bigint,YES,NULL,19,0,0
cd_nota_fiscal,3,bigint,YES,NULL,19,0,0
vl_ordem,4,bigint,YES,NULL,19,0,0
nDi,5,nvarchar,YES,500,NULL,NULL,0
nAdicao,6,bigint,YES,NULL,19,0,0
nSeqAdic,7,bigint,YES,NULL,19,0,0
cFabricante,8,nvarchar,YES,500,NULL,NULL,0
vDescDI,9,float,YES,NULL,53,NULL,0
nDraw,10,nvarchar,YES,500,NULL,NULL,0
