COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
cd_empresa,1,bigint,YES,NULL,19,0,0
cd_serie_nf,2,bigint,YES,NULL,19,0,0
cd_nota_fiscal,3,bigint,YES,NULL,19,0,0
cd_evento,4,bigint,YES,NULL,19,0,0
cd_evento_seq,5,bigint,YES,NULL,19,0,0
nm_evento,6,nvarchar,YES,500,NULL,NULL,0
nm_protocolo,7,nvarchar,YES,500,NULL,NULL,0
dt_evento,8,nvarchar,YES,500,NULL,NULL,0
ds_evento,9,nvarchar,YES,500,NULL,NULL,0
