COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
cd_empresa,2,bigint,YES,NULL,19,0,0
cd_modelo,3,bigint,YES,NULL,19,0,0
cd_serie,4,bigint,YES,NULL,19,0,0
ano,5,bigint,YES,NULL,19,0,0
cd_nota_inicial,6,bigint,YES,NULL,19,0,0
cd_nota_final,7,bigint,YES,NULL,19,0,0
cd_status,8,bigint,YES,NULL,19,0,0
ds_status,9,nvarchar,YES,500,NULL,NULL,0
dt_recibo,10,datetime2,YES,NULL,NULL,NULL,0
nm_protocolo,11,nvarchar,YES,500,NULL,NULL,0
nm_usuario,12,nvarchar,YES,500,NULL,NULL,0
ds_justificativa,13,nvarchar,YES,500,NULL,NULL,0
