COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
cd_empresa,1,bigint,YES,NULL,19,0,0
cd_serie_nf,2,bigint,YES,NULL,19,0,0
cd_nota_fiscal,3,bigint,YES,NULL,19,0,0
vl_ordem,4,bigint,YES,NULL,19,0,0
cd_produto,5,nvarchar,YES,500,NULL,NULL,0
ds_produto,6,nvarchar,YES,500,NULL,NULL,0
vl_quantidade,7,float,YES,NULL,53,NULL,0
vl_unitario,8,float,YES,NULL,53,NULL,0
vl_total,9,float,YES,NULL,53,NULL,0
vl_base_icms,10,float,YES,NULL,53,NULL,0
pc_icms,11,float,YES,NULL,53,NULL,0
vl_icms,12,float,YES,NULL,53,NULL,0
cd_mod_icms_st,13,bigint,YES,NULL,19,0,0
pc_base_st_agregada,14,float,YES,NULL,53,NULL,0
vlBaseIcmsSTAgreg,15,float,YES,NULL,53,NULL,0
vl_icms_st_agregado,16,float,YES,NULL,53,NULL,0
pc_ipi,17,float,YES,NULL,53,NULL,0
vl_ipi,18,float,YES,NULL,53,NULL,0
vl_pis,19,float,YES,NULL,53,NULL,0
vl_cofins,20,float,YES,NULL,53,NULL,0
