TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,CONSTRAINT_NAME,FK_NAME
------------,----------,-----------,----------------,---------,-----------,------------------------,-----------------,-------------,---------------,-------
CRIZAFAUX,NFItens,cd_empresa,1,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,NFItens,cd_serie_nf,2,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,NFItens,cd_nota_fiscal,3,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,NFItens,vl_ordem,4,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,NFItens,cd_produto,5,nvarchar,YES,500,NULL,NULL,NULL,NULL
CRIZAFAUX,NFItens,ds_produto,6,nvarchar,YES,500,NULL,NULL,NULL,NULL
CRIZAFAUX,NFItens,vl_quantidade,7,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,NFItens,vl_unitario,8,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,NFItens,vl_total,9,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,NFItens,vl_base_icms,10,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,NFItens,pc_icms,11,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,NFItens,vl_icms,12,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,NFItens,cd_mod_icms_st,13,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,NFItens,pc_base_st_agregada,14,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,NFItens,vlBaseIcmsSTAgreg,15,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,NFItens,vl_icms_st_agregado,16,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,NFItens,pc_ipi,17,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,NFItens,vl_ipi,18,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,NFItens,vl_pis,19,float,YES,NULL,53,NULL,NULL,NULL
CRIZAFAUX,NFItens,vl_cofins,20,float,YES,NULL,53,NULL,NULL,NULL
