COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
cd_controle,2,int,YES,NULL,10,0,0
cd_cnpj,3,nvarchar,YES,500,NULL,NULL,0
nm_razao_social,4,nvarchar,YES,500,NULL,NULL,0
cd_nf_original,5,int,YES,NULL,10,0,0
dt_nf_original,6,datetime2,YES,NULL,NULL,NULL,0
vl_diferenca_unit,7,float,YES,NULL,53,NULL,0
qde_original,8,float,YES,NULL,53,NULL,0
vl_original,9,float,YES,NULL,53,NULL,0
cd_nf_complementar,10,int,YES,NULL,10,0,0
dt_nf_complementar,11,datetime2,YES,NULL,NULL,NULL,0
vl_preco_atual,12,float,YES,NULL,53,NULL,0
cd_pedido,13,nvarchar,YES,500,NULL,NULL,0
qde_nf_complementar,14,float,YES,NULL,53,NULL,0
vl_chave_nf_compl,15,nvarchar,YES,500,NULL,NULL,0
nm_status,16,nvarchar,YES,500,NULL,NULL,0
dt_aprovacao_sefaz,17,datetime2,YES,NULL,NULL,NULL,0
