COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
cd_nota_fiscal,2,bigint,YES,NULL,19,0,0
dt_emissao,3,datetime2,YES,NULL,NULL,NULL,0
dt_sistema,4,datetime2,YES,NULL,NULL,NULL,0
dt_saida,5,datetime2,YES,NULL,NULL,NULL,0
id_cfop_int,6,bigint,YES,NULL,19,0,0
id_ficha_expedicao,7,bigint,YES,NULL,19,0,0
id_entidade,8,bigint,YES,NULL,19,0,0
nm_entidade,9,nvarchar,YES,500,NULL,NULL,0
nm_fantasia,10,nvarchar,YES,500,NULL,NULL,0
cd_cnpj,11,nvarchar,YES,500,NULL,NULL,0
cd_insc_estadual,12,nvarchar,YES,500,NULL,NULL,0
cd_status,13,bigint,YES,NULL,19,0,0
cd_tipo_nota,14,bigint,YES,NULL,19,0,0
ic_cancelado,15,bit,YES,NULL,NULL,NULL,0
id_cfop,16,bigint,YES,NULL,19,0,0
cd_cfop,17,nvarchar,YES,500,NULL,NULL,0
ds_cfop,18,nvarchar,YES,500,NULL,NULL,0
id_condicao_pgto,19,bigint,YES,NULL,19,0,0
ds_condicao_pgto,20,nvarchar,YES,500,NULL,NULL,0
