COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
id_nota_fiscal,2,bigint,YES,NULL,19,0,0
cd_item_nota_fiscal,3,bigint,YES,NULL,19,0,0
id_ficha_expedicao,4,bigint,YES,NULL,19,0,0
id_item_ficha_exp,5,bigint,YES,NULL,19,0,0
cd_tipo_produto,6,bigint,YES,NULL,19,0,0
cd_produto,7,nvarchar,YES,500,NULL,NULL,0
ds_produto,8,nvarchar,YES,500,NULL,NULL,0
qd_entregue,9,float,YES,NULL,53,NULL,0
cd_embalagem,10,nvarchar,YES,500,NULL,NULL,0
qd_embalagem,11,bigint,YES,NULL,19,0,0
qd_por_embalagem,12,bigint,YES,NULL,19,0,0
vl_peso_bruto,13,float,YES,NULL,53,NULL,0
vl_peso_liquido,14,float,YES,NULL,53,NULL,0
id_conta_contabil_cr,15,bigint,YES,NULL,19,0,0
id_conta_contabil_db,16,bigint,YES,NULL,19,0,0
id_conta_adm_cr,17,bigint,YES,NULL,19,0,0
id_conta_adm_db,18,bigint,YES,NULL,19,0,0
cd_pedido_cliente,19,nvarchar,YES,500,NULL,NULL,0
nm_produto_externo,20,nvarchar,YES,500,NULL,NULL,0
