COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
cd_ficha,2,bigint,YES,NULL,19,0,0
cd_operador,3,bigint,YES,NULL,19,0,0
dt_liberacao,4,datetime2,YES,NULL,NULL,NULL,0
cd_tipo_recurso,5,bigint,YES,NULL,19,0,0
cd_recurso,6,bigint,YES,NULL,19,0,0
nm_recurso,7,nvarchar,YES,500,NULL,NULL,0
nm_operador,8,nvarchar,YES,500,NULL,NULL,0
nm_comentario,9,nvarchar,YES,500,NULL,NULL,0
