COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
idOF,2,bigint,YES,NULL,19,0,0
cdEstoque,3,bigint,YES,NULL,19,0,0
cdProduto,4,nvarchar,YES,500,NULL,NULL,0
cdTipo,5,bigint,YES,NULL,19,0,0
d1,6,float,YES,NULL,53,NULL,0
d2,7,float,YES,NULL,53,NULL,0
d3,8,float,YES,NULL,53,NULL,0
cdEntidade,9,bigint,YES,NULL,19,0,0
vlNecessidade,10,float,YES,NULL,53,NULL,0
qdePai,11,bigint,YES,NULL,19,0,0
qdeTotal,12,float,YES,NULL,53,NULL,0
qdeTransferida,13,float,YES,NULL,53,NULL,0
icFechado,14,bit,YES,NULL,NULL,NULL,0
dsProduto,15,nvarchar,YES,500,NULL,NULL,0
