COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
cd_orcamento,1,int,YES,NULL,10,0,0
vl_ipi,2,float,YES,NULL,53,NULL,0
vl_icms,3,float,YES,NULL,53,NULL,0
vl_pis,4,float,YES,NULL,53,NULL,0
vl_cofins,5,float,YES,NULL,53,NULL,0
ic_consumidor_final,6,bit,YES,NULL,NULL,NULL,0
cd_transportadora,7,int,YES,NULL,10,0,0
ic_cliente_transport,8,bit,YES,NULL,NULL,NULL,0
ic_frete_pg_emitente,9,bit,YES,NULL,NULL,NULL,0
cd_tipo_end_entrega,10,nvarchar,YES,500,NULL,NULL,0
cd_end_entrega,11,int,YES,NULL,10,0,0
cd_tipo_end_cobranca,12,nvarchar,YES,500,NULL,NULL,0
cd_end_cobranca,13,int,YES,NULL,10,0,0
vl_cubagem,14,float,YES,NULL,53,NULL,0
vl_embalagens,15,int,YES,NULL,10,0,0
vl_revisao,16,int,YES,NULL,10,0,0
vl_frete,17,float,YES,NULL,53,NULL,0
vl_seguro,18,float,YES,NULL,53,NULL,0
vl_outros,19,float,YES,NULL,53,NULL,0
dt_cadastro,20,datetime2,YES,NULL,NULL,NULL,0
