COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
idPPAP,2,bigint,YES,NULL,19,0,0
cdProduto,3,nvarchar,YES,500,NULL,NULL,0
cdTipoEstoque,4,bigint,YES,NULL,19,0,0
cdTipoProduto,5,bigint,YES,NULL,19,0,0
dimensao1,6,nvarchar,YES,500,NULL,NULL,0
dimensao2,7,nvarchar,YES,500,NULL,NULL,0
dimensao3,8,nvarchar,YES,500,NULL,NULL,0
cdEntidade,9,bigint,YES,NULL,19,0,0
dsAlteracaoAdc,10,nvarchar,YES,500,NULL,NULL,0
dtAlteracaoAdc,11,datetime2,YES,NULL,NULL,NULL,0
icRegulamentacao,12,bit,YES,NULL,NULL,NULL,0
nmVerificacao,13,nvarchar,YES,500,NULL,NULL,0
nmNivelVerificacao,14,nvarchar,YES,500,NULL,NULL,0
dsAplicacao,15,nvarchar,YES,500,NULL,NULL,0
cdReporteMat,16,bigint,YES,NULL,19,0,0
cdIMDS,17,nvarchar,YES,500,NULL,NULL,0
cdPolimeros,18,bigint,YES,NULL,19,0,0
icSubInicial,19,bit,YES,NULL,NULL,NULL,0
icAltEngenharia,20,bit,YES,NULL,NULL,NULL,0
