COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
No_cmde,1,bigint,YES,NULL,19,0,0
nomeContatoFornec,2,nvarchar,YES,500,NULL,NULL,0
emailContatoFornec,3,nvarchar,YES,500,NULL,NULL,0
telefoneContatoForn,4,nvarchar,YES,500,NULL,NULL,0
cd_tipo_pedido,5,bigint,YES,NULL,19,0,0
cd_revisao,6,bigint,YES,NULL,19,0,0
ds_revisao,7,nvarchar,YES,500,NULL,NULL,0
cd_contato,8,int,YES,NULL,10,0,0
cd_status_aprovacao,9,bigint,YES,NULL,19,0,0
vl_volumes,10,bigint,YES,NULL,19,0,0
nm_volumes,11,nvarchar,YES,500,NULL,NULL,0
cd_centro_custos,12,bigint,YES,NULL,19,0,0
dt_atualizacao,13,datetime2,YES,NULL,NULL,NULL,0
cd_status_coleta,14,bigint,YES,NULL,19,0,0
nm_motorista,15,nvarchar,YES,500,NULL,NULL,0
nm_rg_motorista,16,nvarchar,YES,500,NULL,NULL,0
dt_coleta,17,datetime2,YES,NULL,NULL,NULL,0
cd_nota_fiscal,18,bigint,YES,NULL,19,0,0
nm_placa,19,nvarchar,YES,500,NULL,NULL,0
ic_tarifa_priorit,20,bit,YES,NULL,NULL,NULL,0
