TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,CONSTRAINT_NAME,FK_NAME
------------,----------,-----------,----------------,---------,-----------,------------------------,-----------------,-------------,---------------,-------
CRIZAFAUX,PedidoCompraAux,No_cmde,1,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,PedidoCompraAux,nomeContatoFornec,2,nvarchar,YES,500,NULL,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraAux,emailContatoFornec,3,nvarchar,YES,500,NULL,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraAux,telefoneContatoForn,4,nvarchar,YES,500,NULL,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraAux,cd_tipo_pedido,5,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,PedidoCompraAux,cd_revisao,6,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,PedidoCompraAux,ds_revisao,7,nvarchar,YES,500,NULL,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraAux,cd_contato,8,int,YES,NULL,10,0,NULL,NULL
CRIZAFAUX,PedidoCompraAux,cd_status_aprovacao,9,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,PedidoCompraAux,vl_volumes,10,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,PedidoCompraAux,nm_volumes,11,nvarchar,YES,500,NULL,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraAux,cd_centro_custos,12,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,PedidoCompraAux,dt_atualizacao,13,datetime2,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraAux,cd_status_coleta,14,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,PedidoCompraAux,nm_motorista,15,nvarchar,YES,500,NULL,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraAux,nm_rg_motorista,16,nvarchar,YES,500,NULL,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraAux,dt_coleta,17,datetime2,YES,NULL,NULL,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraAux,cd_nota_fiscal,18,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,PedidoCompraAux,nm_placa,19,nvarchar,YES,500,NULL,NULL,NULL,NULL
CRIZAFAUX,PedidoCompraAux,ic_tarifa_priorit,20,bit,YES,NULL,NULL,NULL,NULL,NULL
