COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
cd_pedido,2,bigint,YES,NULL,19,0,0
cd_item,3,bigint,YES,NULL,19,0,0
dt_entrega,4,datetime2,YES,NULL,NULL,NULL,0
vl_qde_pedida,5,float,YES,NULL,53,NULL,0
vl_qde_entregue,6,float,YES,NULL,53,NULL,0
vl_qde_saldada,7,float,YES,NULL,53,NULL,0
cd_status,8,bigint,YES,NULL,19,0,0
dt_recebimento,9,datetime2,YES,NULL,NULL,NULL,0
