COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
cd_pedido,1,bigint,YES,NULL,19,0,0
vl_ipi,2,float,YES,NULL,53,NULL,0
vl_icms,3,float,YES,NULL,53,NULL,0
vl_pis,4,float,YES,NULL,53,NULL,0
vl_cofins,5,float,YES,NULL,53,NULL,0
vl_cubagem,6,float,YES,NULL,53,NULL,0
vl_qde_embalagens,7,float,YES,NULL,53,NULL,0
ic_entidade_entrega,8,bit,YES,NULL,NULL,NULL,0
cd_tipo_entidade,9,nvarchar,YES,500,NULL,NULL,0
cd_entidade,10,bigint,YES,NULL,19,0,0
cd_tipo_entidade_Cob,11,nvarchar,YES,500,NULL,NULL,0
cd_entidade_cobranca,12,bigint,YES,NULL,19,0,0
ic_consumidor_final,13,bit,YES,NULL,NULL,NULL,0
nm_doca_entrega,14,nvarchar,YES,500,NULL,NULL,0
vl_credito_icms,15,float,YES,NULL,53,NULL,0
vl_base_calculo_icms,16,float,YES,NULL,53,NULL,0
vl_base_agreg_IcmsSt,17,float,YES,NULL,53,NULL,0
vl_icmsSt_agreg,18,float,YES,NULL,53,NULL,0
vl_icms_int_fun_pob,19,float,YES,NULL,53,NULL,0
vl_icms_int_uf_dest,20,float,YES,NULL,53,NULL,0
