COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
cd_ano,2,bigint,YES,NULL,19,0,0
cd_versao,3,bigint,YES,NULL,19,0,0
dt_versao,4,datetime2,YES,NULL,NULL,NULL,0
cd_cliente,5,bigint,YES,NULL,19,0,0
cd_produto,6,nvarchar,YES,500,NULL,NULL,0
cd_tipo_produto,7,nvarchar,YES,500,NULL,NULL,0
vl_janeiro,8,bigint,YES,NULL,19,0,0
vl_fevereiro,9,bigint,YES,NULL,19,0,0
vl_marco,10,bigint,YES,NULL,19,0,0
vl_abril,11,bigint,YES,NULL,19,0,0
vl_maio,12,bigint,YES,NULL,19,0,0
vl_junho,13,bigint,YES,NULL,19,0,0
vl_julho,14,bigint,YES,NULL,19,0,0
vl_agosto,15,bigint,YES,NULL,19,0,0
vl_setembro,16,bigint,YES,NULL,19,0,0
vl_outubro,17,bigint,YES,NULL,19,0,0
vl_novembro,18,bigint,YES,NULL,19,0,0
vl_dezembro,19,bigint,YES,NULL,19,0,0
cd_tipo_estoque,20,bigint,YES,NULL,19,0,0
