COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
ano,1,int,YES,NULL,10,0,0
produto,2,nvarchar,YES,500,NULL,NULL,0
tipo_produto,3,int,YES,NULL,10,0,0
janeiro,4,bigint,YES,NULL,19,0,0
fevereiro,5,bigint,YES,NULL,19,0,0
marco,6,bigint,YES,NULL,19,0,0
abril,7,bigint,YES,NULL,19,0,0
maio,8,bigint,YES,NULL,19,0,0
junho,9,bigint,YES,NULL,19,0,0
julho,10,bigint,YES,NULL,19,0,0
agosto,11,bigint,YES,NULL,19,0,0
setembro,12,bigint,YES,NULL,19,0,0
outubro,13,bigint,YES,NULL,19,0,0
novembro,14,bigint,YES,NULL,19,0,0
dezembro,15,bigint,YES,NULL,19,0,0
versao,16,int,YES,NULL,10,0,0
