COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
cd_tipoEstoque,2,nvarchar,YES,500,NULL,NULL,0
cd_tipo_produto,3,nvarchar,YES,500,NULL,NULL,0
cd_produto,4,nvarchar,YES,500,NULL,NULL,0
vl_dim01,5,float,YES,NULL,53,NULL,0
vl_dim02,6,float,YES,NULL,53,NULL,0
vl_dim3,7,float,YES,NULL,53,NULL,0
cd_entidade_estoque,8,bigint,YES,NULL,19,0,0
cd_tipo_embalagem,9,nvarchar,YES,500,NULL,NULL,0
cd_embalagem_cliente,10,bigint,YES,NULL,19,0,0
cd_embalagem,11,nvarchar,YES,500,NULL,NULL,0
vl_pecas_embalagem,12,bigint,YES,NULL,19,0,0
vl_revisao,13,nvarchar,YES,500,NULL,NULL,0
dt_revisao,14,datetime2,YES,NULL,NULL,NULL,0
ds_instrucao,15,varbinary,YES,-1,NULL,NULL,0
cd_externo,16,nvarchar,YES,500,NULL,NULL,0
