COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
dt_calculo,2,datetime2,YES,NULL,NULL,NULL,0
cd_familia,3,nvarchar,YES,500,NULL,NULL,0
cd_subfamilia,4,nvarchar,YES,500,NULL,NULL,0
cd_produto,5,nvarchar,YES,500,NULL,NULL,0
vl_materia_prima,6,decimal,YES,NULL,18,6,0
pc_maeria_prima,7,decimal,YES,NULL,18,6,0
vl_componente,8,decimal,YES,NULL,18,6,0
pc_componente,9,decimal,YES,NULL,18,6,0
vl_fab_interno,10,decimal,YES,NULL,18,6,0
pc_fab_interno,11,decimal,YES,NULL,18,6,0
vl_custo_s_indice,12,decimal,YES,NULL,18,6,0
vl_custo_c_indice,13,decimal,YES,NULL,18,6,0
pc_estadual,14,decimal,YES,NULL,18,6,0
pc_interestadual,15,decimal,YES,NULL,18,6,0
vl_custo_estadual,16,decimal,YES,NULL,18,6,0
vl_custo_interest,17,decimal,YES,NULL,18,6,0
pc_ajuste_estadual,18,decimal,YES,NULL,18,6,0
pc_ajuste_interest,19,decimal,YES,NULL,18,6,0
vl_preco_estadual,20,decimal,YES,NULL,18,6,0
