COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
idPrograma,2,bigint,YES,NULL,19,0,0
cdFornecedor,3,bigint,YES,NULL,19,0,0
nmFornecedor,4,nvarchar,YES,500,NULL,NULL,0
tipoEstoque,5,bigint,YES,NULL,19,0,0
tipoProduto,6,bigint,YES,NULL,19,0,0
cdProduto,7,nvarchar,YES,500,NULL,NULL,0
dim01,8,float,YES,NULL,53,NULL,0
dim02,9,float,YES,NULL,53,NULL,0
dim03,10,float,YES,NULL,53,NULL,0
cdEntidade,11,bigint,YES,NULL,19,0,0
qde,12,float,YES,NULL,53,NULL,0
precoUnitario,13,float,YES,NULL,53,NULL,0
dtEntrega,14,datetime2,YES,NULL,NULL,NULL,0
cdUnidade,15,bigint,YES,NULL,19,0,0
cdPedido,16,bigint,YES,NULL,19,0,0
itemPedido,17,bigint,YES,NULL,19,0,0
icPedEncontrado,18,bit,YES,NULL,NULL,NULL,0
idTarifa,19,bigint,YES,NULL,19,0,0
