COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
dtCalculo,2,datetime2,YES,NULL,NULL,NULL,0
atraso,3,bit,YES,NULL,NULL,NULL,0
cdCliente,4,bigint,YES,NULL,19,0,0
cdPedido,5,bigint,YES,NULL,19,0,0
cdPedidoItem,6,bigint,YES,NULL,19,0,0
cdCadencia,7,bigint,YES,NULL,19,0,0
firme,8,bit,YES,NULL,NULL,NULL,0
tpPedido,9,nvarchar,YES,500,NULL,NULL,0
portaoEntrega,10,nvarchar,YES,500,NULL,NULL,0
cdProduto,11,nvarchar,YES,500,NULL,NULL,0
tpEstoque,12,bigint,YES,NULL,19,0,0
tpProduto,13,bigint,YES,NULL,19,0,0
dim01,14,float,YES,NULL,53,NULL,0
dim02,15,float,YES,NULL,53,NULL,0
dim03,16,float,YES,NULL,53,NULL,0
cdEntidade,17,bigint,YES,NULL,19,0,0
dtEntrega,18,datetime2,YES,NULL,NULL,NULL,0
dtOriginal,19,datetime2,YES,NULL,NULL,NULL,0
qdeEntregar,20,bigint,YES,NULL,19,0,0
